鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中山區,房地(土地+建物)+車位,臺北市中山區民權東路二段３６號九樓,21.53,商,,,1130412,土地2建物1車位2,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020206,248.26999999999998,3,2,2,有,有,56060000,225812,坡道平面,0.0,5600000,,RPVOMLLLNHJGFCA97DA,89.87,5.61,11.72,有,092
中山區,房地(土地+建物),臺北市中山區林森北路１１９巷３８號三樓之１,10.98,商,,,1130426,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1001108,45.26,1,1,1,有,有,11500000,254087,,0.0,0,夾層；,RPSNMLMLNHJGFCA67DA,23.01,1.13,3.88,有,093
中山區,房地(土地+建物),臺北市中山區松江路１號十樓之１,8.11,商,,,1130420,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720328,99.72,0,0,0,無,有,24000000,240674,,0.0,0,,RPWOMLMLNHJGFCA18DA,84.48,0.0,0.0,有,
信義區,房地(土地+建物),臺北市信義區基隆路一段１３３號十二樓之９,3.81,商,,,1130423,土地2建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0950802,32.769999999999996,1,1,1,有,有,13666000,417028,,0.0,0,夾層；,RPUPMLKMMHJGFDA97DA,20.89,0.0,1.63,有,
信義區,房地(土地+建物),臺北市信義區吳興街１７９號四樓,7.59,商,,,1130415,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810312,39.209999999999994,1,0,1,有,無,10100000,257587,,0.0,0,其他增建；,RPXOMLMJNHJGFDA18DA,31.28,1.53,3.67,有,094
松山區,房地(土地+建物),臺北市松山區南京東路五段２３９號七樓之２,4.42,都市：其他:聯合開發區(捷)。,,,1130416,土地1建物1車位0,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980331,55.44,1,1,1,有,有,16430000,296356,,0.0,0,其他增建；,RPRNMLQJNHJGFDA87DA,31.52,1.39,3.65,有,
信義區,房地(土地+建物),臺北市信義區信義路五段１２７號十七樓,10.5,都市：其他:特定業務區(信義計畫特定專用區)。,,,1130421,土地1建物1車位0,十七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0951229,66.99000000000001,2,1,1,有,有,21400000,319451,,0.0,0,,RPTPMLQJNHJGFDA28DA,38.51,2.13,3.75,有,095
南港區,房地(土地+建物),臺北市南港區重陽路５２９號六樓,16.83,住,,,1130415,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120110,49.82,1,1,1,有,有,17600000,353272,,0.0,0,,RPTNMLRJNHJGFDA18DA,29.09,0.0,3.34,有,096
松山區,房地(土地+建物),臺北市松山區光復南路１７巷４０號四樓,39.14,住,,,1130410,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),,加強磚造,,77.3,3,1,1,有,無,12250000,158473,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；陽台外推；頂樓加蓋；,RPSOMLLLNHJGFDA77DA,77.3,0.0,0.0,無,
信義區,房地(土地+建物),臺北市信義區松仁路２８１巷８號二樓,27.48,住,,,1130427,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640410,77.32,3,2,1,有,無,15000000,193999,,0.0,0,,RPPNMLMLNHJGFDA47DA,77.32,0.0,0.0,無,
松山區,房地(土地+建物),臺北市松山區民族東路６７４號,34.75,住,,,1130415,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0600123,87.75,2,1,1,有,無,16400000,186895,,0.0,0,,RPXNMLNLNHJGFDA38DA,87.75,0.0,0.0,無,
士林區,房地(土地+建物),臺北市士林區中山北路六段１７２巷１６弄２號五樓之４,7.75,住,,,1130412,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831018,31.7,1,0,1,有,無,8450000,266562,,0.0,0,陽台外推；其他增建；,RPWOMLKMMHJGFEA18DA,15.7,5.83,2.78,有,
北投區,房地(土地+建物),臺北市北投區溫泉路７１號七樓之５,6.11,都市：其他:特定觀光商業專用區。,,,1130415,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700218,47.61,1,1,1,有,有,6420000,134846,,0.0,0,陽台外推；其他增建；,RPOPMLMJNHJGFEA47DA,34.69,0.0,5.87,有,
