鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路二段２３８巷５１號六樓,15.45,住,,,1110718,土地2建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,122.98,2,2,1,有,有,12150000,119394,坡道平面,37.13,1900000,E區沐樂公設價格已包含在總價內：64000元讓渡日/指定登記配偶日：112/10/25    讓渡價格：12150000元第一次測量後因面積修正而總價找補，金額：4433元預售屋、或土地及建物分件登記案件；,RPQPMLMLNHJGFDF38EA,50.95,3.15,2.82,有,
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路二段２３８巷６１號六樓,15.45,住,,,1110701,土地2建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,122.98,2,2,1,有,有,12200000,122306,坡道平面,37.13,1700000,E區沐樂公設價格已包含在總價內：64000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：4537元預售屋、或土地及建物分件登記案件；,RPRQMLMLNHJGFDF58EA,50.95,3.15,2.82,有,
三重區,房地(土地+建物)+車位,新北市三重區同安街８８號十四樓之七,27.69,住,,,1110604,土地1建物1車位2,十四層，十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121026,268.65999999999997,3,3,3,有,有,36320000,147265,坡道平面,57.34,5200000,車位總價中，無法拆分各別車位價格。預售屋、或土地及建物分件登記案件；,RPSNMLNLNHJGFGF68DA,120.93,5.48,11.22,有,
汐止區,房地(土地+建物),新北市汐止區新台五路二段２３８巷５３號二樓,15.45,住,,,1110625,土地2建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,85.85,2,2,1,有,有,10160000,118360,,0.0,0,E區沐樂公設價格已包含在總價內：66000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：4425元預售屋、或土地及建物分件登記案件；,RPRPMLMLNHJGFDF48EA,50.95,3.15,2.82,有,
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路二段２３８巷７９號八樓,15.69,住,,,1110624,土地2建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,124.19,2,2,1,有,有,12500000,125775,坡道平面,37.13,1550000,E區沐樂公設價格已包含在總價內：64000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：27399元預售屋、或土地及建物分件登記案件；,RPXPMLMLNHJGFDF09EA,51.74,3.15,2.82,有,
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路二段２３８巷７５號八樓,15.69,住,,,1110516,土地2建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,124.22999999999999,2,2,1,有,有,13380000,128358,坡道平面,37.13,2200000,E區沐樂公設價格已包含在總價內：64000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：27969元預售屋、或土地及建物分件登記案件；,RPSPMLMLNHJGFDF58EA,51.74,3.19,2.82,有,
板橋區,房地(土地+建物)+車位,新北市板橋區新月一街１３號十一樓,17.59,住,,,1110423,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130327,123.14,2,2,1,有,有,15970000,166726,坡道平面,38.75,1900000,預售屋、或土地及建物分件登記案件；,RPTSMLPLMHJGFAF78DA,47.85,0.0,8.21,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路１１３號十八樓之２１,6.08,商,,,1110422,土地1建物1車位1,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1120908,80.74000000000001,1,0,1,有,無,10200000,126331,坡道平面,30.05,0,,RPUOMLOLNHJGFAF48DA,29.54,0.0,3.99,有,
汐止區,房地(土地+建物),新北市汐止區新台五路二段２３８巷８５號五樓,15.69,住,,,1110407,土地2建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,87.06,2,2,1,有,有,10700000,122904,,0.0,0,E區沐樂公設價格已包含在總價內：64000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：26763元預售屋、或土地及建物分件登記案件；,RPWNMLMLNHJGFDF78EA,51.74,3.15,2.82,有,
汐止區,房地(土地+建物),新北市汐止區新台五路二段２３８巷７７號六樓,15.69,住,,,1110415,土地2建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,87.06,2,2,1,有,有,10780000,123823,,0.0,0,E區沐樂公設價格已包含在總價內：64000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：26959元預售屋、或土地及建物分件登記案件；,RPVPMLMLNHJGFDF88EA,51.74,3.15,2.82,有,
