鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
南屯區,土地,田心段879-2地號,9.67,住,,,1130416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1150000,118925,,0.0,0,,RPOOMLPLMHJGFCB67DA,0.0,0.0,0.0,無,0220
南屯區,房地(土地+建物)+車位,臺中市南屯區惠文路７０７巷６號,112.19,住,,,1130414,土地4建物1車位2,全,四層,透天厝,住家用,鋼筋混凝土造,0870903,332.83,6,2,6,有,有,39300000,118078,坡道平面,26.04,0,,RPSOMLQLMHJGFCB18DA,212.82,1.35,3.72,無,
西屯區,房地(土地+建物),臺中市西屯區青海路二段２８６號十一樓之１５,3.31,住,,,1130413,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840420,26.28,1,0,1,有,有,2350000,89422,,0.0,0,,RPUNMLTLMHJGFCB58DA,14.52,0.0,3.4,有,
西屯區,房地(土地+建物),臺中市西屯區文心路三段６號二十一樓之５,4.95,商,,,1130418,土地1建物1車位0,二十一層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,55.0,1,1,1,有,有,7980000,145091,,0.0,0,,RPOOMLNJNHJGFCB37DA,34.09,0.46,2.68,有,
西屯區,房地(土地+建物),臺中市西屯區惠中路一段２００號十一樓之１,11.74,都市：其他:第六種新市政中心專用區,,,1130425,土地1建物1車位0,十一層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0990211,205.15,4,2,2,有,有,28580000,139313,,0.0,0,陽台外推；,RPORMLRJNHJGFCB08DA,123.57,3.47,14.74,有,
南屯區,房地(土地+建物),臺中市南屯區永春東三路９７號三樓之５,10.1,商,,,1130404,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840927,92.73,2,2,1,有,有,8580000,92527,,0.0,0,其他增建；,RPRRMLRJNHJGFCB38DA,60.85,0.0,13.88,有,0254
南屯區,房地(土地+建物),臺中市南屯區永春東路８０１巷６號四樓,76.42,住,,,1130416,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831124,195.27,4,2,3,有,有,17550000,89876,,0.0,0,社區住戶約定一樓停車位共同使用,RPOQMLTJNHJGFCB18DA,150.37,0.0,18.06,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區黎明路三段３９８號四樓之３,17.97,住,,,1130413,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031022,116.25999999999999,2,2,1,有,有,14600000,125581,坡道平面,26.43,0,,RPTPMLKKNHJGFCB77DA,50.09,5.37,3.66,有,0255
西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段６之８號二十四樓之２,24.13,商,,,1130418,土地1建物1車位2,二十四層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980713,330.96000000000004,3,2,3,有,有,38000000,114818,坡道平面,57.7,0,,RPXPMLKKNHJGFCB18DA,173.29,3.85,19.42,有,
西屯區,房地(土地+建物),臺中市西屯區天水西二街１８之５號,83.25,住,,,1130408,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0950828,278.63,5,3,3,有,無,32000000,114852,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPPOMLOKNHJGFCB67DA,225.87,17.28,9.48,無,
南屯區,房地(土地+建物)+車位,臺中市南屯區春安三街１９３號十樓之８,13.62,住,,,1130419,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090814,131.55,3,2,1,有,有,12500000,95021,坡道平面,35.95,0,,RPWSMLOKNHJGFCB78DA,60.27,0.0,3.69,有,0256
西屯區,房地(土地+建物)+車位,臺中市西屯區廣吉一街６號五樓之２,29.74,住,,,1130426,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120317,142.87,3,2,2,有,有,20000000,139987,坡道平面,35.42,0,,RPQSNLPKNHJGFCB38DA,65.54,0.0,6.43,有,0257
西屯區,房地(土地+建物),臺中市西屯區上明三街２４號,22.95,住,,,1130408,土地1建物1車位0,一層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0850119,55.32,1,1,1,有,有,7940000,143529,,0.0,0,夾層；,RPPNMLQKNHJGFCB77DA,38.95,7.06,0.0,有,
南屯區,房地(土地+建物),臺中市南屯區永春南路５６巷３９號三樓之３,17.35,住,,,1130423,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120619,57.83,2,2,2,有,有,8750000,151306,,0.0,0,,RPVOMLQKNHJGFCB48DA,34.03,0.0,3.43,有,
南屯區,房地(土地+建物),臺中市南屯區永春南路５６巷３９號二樓之２,16.96,住,,,1130422,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120619,56.6,2,2,2,有,有,8750000,154594,,0.0,0,,RPWOMLQKNHJGFCB58DA,32.83,0.0,3.85,有,
南屯區,房地(土地+建物),臺中市南屯區永春南路５６巷３９號二樓之３,17.35,住,,,1130422,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120619,57.83,2,2,2,有,有,8720000,150787,,0.0,0,,RPXNMLRKNHJGFCB68DA,34.03,0.0,3.43,有,
南屯區,房地(土地+建物)+車位,臺中市南屯區益豐路四段５８８號五樓之５,45.79,住,,,1130421,土地2建物1車位2,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,252.68,3,2,2,有,有,41000000,162261,坡道平面,65.36,0,,RPUSMLRKNHJGFCB88DA,106.87,4.2,12.49,有,0258
南屯區,房地(土地+建物)+車位,臺中市南屯區河南路四段４８８之２號八樓,20.58,住,,,1130418,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900629,187.35000000000002,4,2,2,有,有,19750000,105418,坡道機械,5.6,0,,RPTUMLRKNHJGFCB98DA,112.84,0.0,17.4,有,
西屯區,房地(土地+建物),臺中市西屯區至善路２４２號七樓之７,2.67,住,,,1130411,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870428,29.5,1,1,1,有,有,2680000,90847,,0.0,0,,RPSTMLLLNHJGFCB28DA,15.57,0.0,2.63,有,0259
南屯區,房地(土地+建物),臺中市南屯區大昌街４６０之９號,30.0,住,,,1130429,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750630,95.06,3,2,2,有,無,7000000,73638,,0.0,0,,RPWOMLNLNHJGFCB38DA,90.59,0.0,4.47,無,0260
西屯區,房地(土地+建物),臺中市西屯區福強街１２７號八樓之２,3.26,住,,,1130427,土地1建物1車位0,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840121,33.489999999999995,1,0,1,有,有,3050000,91072,,0.0,0,,RPVPMLNLNHJGFCB38DA,18.9,0.0,4.32,有,0261
南屯區,房地(土地+建物)+車位,臺中市南屯區黎明東街３５０號十四樓之３,18.19,住,,,1130421,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850718,179.99,4,2,2,有,有,18850000,104728,坡道平面,0.0,0,,RPOQMLNLNHJGFCB77DA,104.85,1.69,11.19,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區漢翔路１０９號,26.01,住,,,1130419,土地1建物1車位2,一層，二層,十二層,住宅大樓(11層含以上有電梯),商辦用,鋼筋混凝土造,1010523,230.07999999999998,0,0,0,無,有,34450000,149731,坡道平面,69.4,0,,RPWNMLOLNHJGFCB38DA,106.7,3.69,13.11,有,
豐原區,房地(土地+建物)+車位,臺中市豐原區直興街２３９號八樓之３,11.06,商,,,1130413,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0990205,74.76,2,1,2,有,有,7550000,100990,坡道機械,10.76,0,夾層；,RPVOMLRKNHJGFDB68DA,37.78,1.36,4.38,有,
豐原區,土地,豐年段343地號,80.17,住,,,1130422,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2425293,30252,,0.0,0,,RPUNMLLLNHJGFDB97DA,0.0,0.0,0.0,無,0262
后里區,房地(土地+建物),臺中市后里區甲后路一段２４７巷１８號,54.04,住,,,1130405,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0811119,91.63,4,2,3,有,無,8900000,97130,,0.0,0,頂樓加蓋；,RPQOMLLLNHJGFDB67DA,84.07,0.0,7.56,無,0263
大甲區,房地(土地+建物),臺中市大甲區水源路４５２巷１１０弄２之１號,73.12,住,,,1130410,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1110920,180.8,5,3,5,有,無,17300000,95686,,0.0,0,其他增建；,RPTNMLMLMHJGFEB97DA,161.55,0.0,19.25,無,
大甲區,房地(土地+建物),臺中市大甲區中山路二段９１８之６６號五樓之３,26.73,商,,,1130421,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090331,82.96,3,2,2,有,有,6360000,76663,,0.0,0,本次買賣含1位室外機車停車格其他增建；,RPRNMLTLMHJGFEB48DA,62.6,0.0,6.51,有,0264
大安區,房地(土地+建物),臺中市大安區東西二路２５０巷６３號,644.0,,特定農業區,農牧用地,1130411,土地2建物1車位0,全,二層,透天厝,農業用,加強磚造,0861210,155.43,4,2,2,有,無,1813300,11666,,0.0,0,二等親屬關係間之交易（母子）親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPTNMLTLMHJGFEB68DA,149.05,0.0,6.38,無,
大甲區,房地(土地+建物),臺中市大甲區中山路二段９０７號,79.0,住,,,1130417,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0651215,123.2,4,3,3,有,無,5250000,42614,,0.0,0,,RPRNMLPKNHJGFEB08DA,123.2,0.0,0.0,無,
外埔區,房地(土地+建物),臺中市外埔區甲后路五段１８６巷９號,86.46,,鄉村區,乙種建築用地,1130416,土地1建物1車位0,全,二層,透天厝,商業用,鋼筋混凝土加強磚造,0671002,130.28,3,2,2,有,無,6000000,46055,,0.0,0,其他增建；,RPSNMLMLNHJGFEB97DA,130.28,0.0,0.0,無,
沙鹿區,房地(土地+建物),臺中市沙鹿區新生街３之５號,90.42,住,,,1130429,土地2建物1車位0,全,一層,透天厝,住商用,磚造、瓦頂、水泥地床,0460701,60.44,5,2,2,有,無,16000000,264725,,0.0,0,,RPRNMLTJNHJGFFB48DA,60.44,0.0,0.0,無,
梧棲區,房地(土地+建物)+車位,臺中市梧棲區八德路８７號五樓之２,10.3,商,,,1130429,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121104,106.2,2,2,1,有,有,6900000,64972,坡道機械,19.74,0,,RPQNMLSKNHJGFFB38DA,50.39,0.0,8.47,有,0265
梧棲區,房地(土地+建物),臺中市梧棲區居仁街６３巷１弄１號五樓,45.19,住,,,1130416,土地9建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711113,82.28,3,2,2,有,無,2600000,31599,,0.0,0,,RPQOMLKLNHJGFFB77DA,80.88,0.0,0.0,無,
沙鹿區,房地(土地+建物),臺中市沙鹿區福幼街２０６巷１６號,73.34,住,,,1130414,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0940120,169.0,4,2,3,有,無,12880000,76213,,0.0,0,,RPRPMLMLNHJGFFB18DA,141.45,3.35,24.2,無,
沙鹿區,房地(土地+建物)+車位,臺中市沙鹿區斗潭路３４１巷３７號四樓之１,32.9,住,,,1130403,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1121112,151.29,3,2,2,有,有,11000000,72708,坡道平面,30.21,0,,RPSOMLNLNHJGFFB28DA,74.13,0.0,6.81,有,0266
沙鹿區,房地(土地+建物),臺中市沙鹿區六路十四街１１４號,68.1,住,,,1130423,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820820,136.31,4,3,3,有,無,12900000,94637,,0.0,0,頂樓加蓋；其他增建；,RPQNMLOLNHJGFFB08DA,122.96,4.0,9.35,無,
東勢區,土地,大茅埔段4133-1地號,2500.0,,山坡地保育區,農牧用地,1130405,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3750000,1500,,0.0,0,,RPSNMLOLNHJGFGB38DA,0.0,0.0,0.0,無,0267
東勢區,土地,東勢段石角小段622-18地號,3599.0,,山坡地保育區,農牧用地,1130418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,1250,,0.0,0,,RPPNMLQLNHJGFGB28DA,0.0,0.0,0.0,無,0268
潭子區,房地(土地+建物),臺中市潭子區中山路一段１５巷６號八樓之６,8.83,住,,,1130425,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970225,83.17,2,2,1,有,有,5680000,68294,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKMMHJGFHB97DA,47.02,0.0,13.42,有,0269
潭子區,房地(土地+建物)+車位,臺中市潭子區勝利路２５０號三樓,7.28,住,,,1130414,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900112,68.35,2,2,1,有,有,5800000,84857,坡道機械,0.0,0,陽台外推；,RPRNMLRKNHJGFHB58DA,39.58,0.0,4.8,有,
大雅區,房地(土地+建物),臺中市大雅區平和一路１５號五樓之２,30.01,住,,,1130418,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060919,85.65,3,0,3,有,有,8800000,102744,,0.0,0,,RPOTMLMLNHJGFHB48DA,52.48,0.0,5.52,有,0270
霧峰區,房地(土地+建物),臺中市霧峰區蘭生街２１號,128.0,都市：其他:住宅區,,,1130401,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1081213,274.98,6,3,7,有,無,33990000,123609,,0.0,0,含傢俱設備費；,RPOOMLTJMHJGFIB48DA,249.32,0.0,25.66,有,
大里區,房地(土地+建物),臺中市大里區六桂一路３６號,67.97,都市：其他:住宅區,,,1130414,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0680815,99.96,5,3,3,有,無,11800000,118047,,0.0,0,頂樓加蓋；其他增建；,RPROMLRKMHJGFIB68DA,99.96,0.0,0.0,無,
霧峰區,房地(土地+建物),臺中市霧峰區振祥街２４號,66.0,都市：其他:住宅區,,,1130403,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0661215,114.37,3,2,2,有,無,8420000,73621,,0.0,0,頂樓加蓋；其他增建；,RPWNMLSKMHJGFIB56DA,114.37,0.0,0.0,無,
大里區,房地(土地+建物)+車位,臺中市大里區塗城路８５２巷８５號,25.21,都市：其他:住宅區,,,1130411,土地2建物1車位1,一層，二層，騎樓,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0841018,165.06,1,1,2,有,有,8350000,50588,坡道機械,0.0,0,,RPXNMLSKMHJGFIB66DA,112.85,2.05,5.4,有,
