鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新竹市,房地(土地+建物),新竹市新竹市湳雅街３０１號２樓,11.21,住,,,1130403,土地2建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841102,61.38,2,1,1,有,有,6500000,105898,,0.0,0,其他增建；,RPSPMLKLNHJGFAO88DA,42.13,1.45,7.16,有,040
新竹市,房地(土地+建物)+車位,新竹市新竹市慈雲路８６號二十一樓之５,13.48,商,,,1130410,土地1建物1車位1,二十一層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080425,172.14999999999998,3,2,2,有,有,28850000,167577,坡道平面,0.0,0,其他增建；,RPXPMLKLNHJGFAO76DA,78.97,4.58,8.41,有,041
新竹市,房地(土地+建物)+車位,新竹市新竹市牛埔路１３５之５號十三樓,10.76,住,,,1130412,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970131,103.9,1,1,1,有,有,9500000,91434,坡道平面,34.82,0,陽台加窗其他增建；,RPRNMLLLNHJGFAO68DA,46.25,0.93,2.56,有,
新竹市,房地(土地+建物),新竹市新竹市境福街８５號二樓之６,6.59,住,,,1130428,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960625,38.33,1,0,1,有,有,4150000,108270,,0.0,0,陽台外推；,RPUNMLLLNHJGFAO98DA,19.0,1.04,6.18,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市武陵路２５０巷５７號６樓,28.13,住,,,1130413,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.26,3,2,2,有,有,13250000,95834,坡道平面,0.0,0,陽台外推；,RPOQMLSKMHJGFAO56DA,81.06,0.0,13.4,有,042
新竹市,土地,湖港段217地號,11.3,,鄉村區,乙種建築用地,1130404,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,341977,30263,,0.0,0,,RPORMLKMMHJGFAO68DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市光復路一段７５號３樓,14.21,住,,,1130414,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821213,99.08000000000001,2,2,1,有,有,9700000,97901,,0.0,0,,RPWUMLKMMHJGFAO17DA,71.13,0.0,3.02,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市埔頂路１４５號７樓之１,17.02,住,,,1130403,土地4建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841208,124.68,3,2,2,有,有,15200000,121912,坡道平面,0.0,0,,RPRQMLOKNHJGFAO56DA,90.83,0.91,9.8,有,043
新竹市,房地(土地+建物),新竹市新竹市田美三街３８之２號,75.0,住,,,1130409,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0730927,116.92,5,3,4,有,無,10000000,85529,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPTPMLPKNHJGFAO76DA,116.92,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市中正路１８６巷８號３樓,40.7,住,,,1130413,土地1建物2車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0771118,159.32,3,2,2,有,有,8000000,50213,坡道平面,0.0,0,,RPTOMLQKNHJGFAO76DA,125.2,0.0,13.29,有,
